,Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Smiles,Standard Type,Standard Value,Standard Units,fr_Al_COO,fr_Ar_COO,is_commercially_available,Conj_smiles
0,CHEMBL1077,BROMFENAC,4,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,IC50,4.803,nM,1,0,True,Nc1c(CC(=O)NCCCCCCNC(=O)c2ccc(-c3c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc([nH]5)c(-c5c(F)c(F)c(F)c(F)c5F)c5nc(c(-c6c(F)c(F)c(F)c(F)c6F)c6ccc3[nH]6)C=C5)C=C4)cc2)cccc1C(=O)c1ccc(Br)cc1
1,CHEMBL139,DICLOFENAC,4,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,IC50,5.0,nM,1,0,True,O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)NCCCCCCNC(=O)c1ccc(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)cc1
2,CHEMBL6,INDOMETHACIN,4,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,IC50,5.9,nM,1,0,True,COc1ccc2c(c1)c(CC(=O)NCCCCCCNC(=O)c1ccc(-c3c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc([nH]5)c(-c5c(F)c(F)c(F)c(F)c5F)c5nc(c(-c6c(F)c(F)c(F)c(F)c6F)c6ccc3[nH]6)C=C5)C=C4)cc1)c(C)n2C(=O)c1ccc(Cl)cc1
3,CHEMBL404108,LUMIRACOXIB,4,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,IC50,7.0,nM,1,0,True,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)NCCCCCCNC(=O)c2ccc(-c3c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc([nH]5)c(-c5c(F)c(F)c(F)c(F)c5F)c5nc(c(-c6c(F)c(F)c(F)c(F)c6F)c6ccc3[nH]6)C=C5)C=C4)cc2)c1
4,CHEMBL563,FLURBIPROFEN,4,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,IC50,10.0,nM,1,0,True,CC(C(=O)NCCCCCCNC(=O)c1ccc(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)cc1)c1ccc(-c2ccccc2)c(F)c1
5,CHEMBL23588,FLUFENAMIC ACID,4,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,IC50,16.0,nM,0,1,True,O=C(NCCCCCCNC(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1)c1ccc(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)cc1
6,CHEMBL571,KETOPROFEN,4,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,IC50,26.0,nM,1,0,True,CC(C(=O)NCCCCCCNC(=O)c1ccc(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)cc1)c1cccc(C(=O)c2ccccc2)c1
7,CHEMBL75435,DEXKETOPROFEN,4,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,IC50,27.0,nM,1,0,True,C[C@H](C(=O)NCCCCCCNC(=O)c1ccc(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)cc1)c1cccc(C(=O)c2ccccc2)c1
8,CHEMBL1316,CARPROFEN,4,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,IC50,100.0,nM,1,0,True,CC(C(=O)NCCCCCCNC(=O)c1ccc(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)cc1)c1ccc2c(c1)[nH]c1ccc(Cl)cc12
9,CHEMBL521,IBUPROFEN,4,CC(C)Cc1ccc(C(C)C(=O)O)cc1,IC50,100.0,nM,1,0,True,CC(C)Cc1ccc(C(C)C(=O)NCCCCCCNC(=O)c2ccc(-c3c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc([nH]5)c(-c5c(F)c(F)c(F)c(F)c5F)c5nc(c(-c6c(F)c(F)c(F)c(F)c6F)c6ccc3[nH]6)C=C5)C=C4)cc2)cc1
10,CHEMBL1071,OXAPROZIN,4,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,IC50,110.0,nM,1,0,True,O=C(CCc1nc(-c2ccccc2)c(-c2ccccc2)o1)NCCCCCCNC(=O)c1ccc(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)cc1
11,CHEMBL1201124,KETOROLAC TROMETHAMINE,4,NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,IC50,120.0,nM,1,0,True,O=C(NCCCCCCNC(=O)C1CCn2c(C(=O)c3ccccc3)ccc21)c1ccc(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)cc1
12,CHEMBL469,KETOROLAC,4,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,IC50,140.0,nM,1,0,True,O=C(NCCCCCCNC(=O)C1CCn2c(C(=O)c3ccccc3)ccc21)c1ccc(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)cc1
13,CHEMBL622,ETODOLAC,4,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,IC50,561.0,nM,1,0,True,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)NCCCCCCNC(=O)c1ccc(-c2c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc([nH]5)c(-c5c(F)c(F)c(F)c(F)c5F)c5nc(c(-c6c(F)c(F)c(F)c(F)c6F)c6ccc2[nH]6)C=C5)C=C4)cc1)OCC3
14,CHEMBL175,DEXIBUPROFEN,4,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,IC50,730.0,nM,1,0,True,CC(C)Cc1ccc([C@H](C)C(=O)NCCCCCCNC(=O)c2ccc(-c3c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc([nH]5)c(-c5c(F)c(F)c(F)c(F)c5F)c5nc(c(-c6c(F)c(F)c(F)c(F)c6F)c6ccc3[nH]6)C=C5)C=C4)cc2)cc1
15,CHEMBL154,NAPROXEN,4,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,IC50,900.0,nM,1,0,True,COc1ccc2cc([C@H](C)C(=O)NCCCCCCNC(=O)c3ccc(-c4c5nc(c(-c6c(F)c(F)c(F)c(F)c6F)c6ccc([nH]6)c(-c6c(F)c(F)c(F)c(F)c6F)c6nc(c(-c7c(F)c(F)c(F)c(F)c7F)c7ccc4[nH]7)C=C6)C=C5)cc3)ccc2c1
16,CHEMBL435298,ESFLURBIPROFEN,3,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,IC50,910.0,nM,1,0,True,C[C@H](C(=O)NCCCCCCNC(=O)c1ccc(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)cc1)c1ccc(-c2ccccc2)c(F)c1
17,CHEMBL25,ASPIRIN,4,CC(=O)Oc1ccccc1C(=O)O,IC50,2400.0,nM,0,1,True,CC(=O)Oc1ccccc1C(=O)NCCCCCCNC(=O)c1ccc(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)cc1
18,CHEMBL956,SUPROFEN,4,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,IC50,2750.0,nM,1,0,True,CC(C(=O)NCCCCCCNC(=O)c1ccc(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)cc1)c1ccc(C(=O)c2cccs2)cc1
19,CHEMBL704,MESALAMINE,4,Nc1ccc(O)c(C(=O)O)c1,IC50,7530.0,nM,0,1,True,Nc1ccc(O)c(C(=O)NCCCCCCNC(=O)c2ccc(-c3c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc([nH]5)c(-c5c(F)c(F)c(F)c(F)c5F)c5nc(c(-c6c(F)c(F)c(F)c(F)c6F)c6ccc3[nH]6)C=C5)C=C4)cc2)c1
20,CHEMBL19299,LOXOPROFEN,3,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,IC50,13500.0,nM,1,0,True,CC(C(=O)NCCCCCCNC(=O)c1ccc(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)cc1)c1ccc(CC2CCCC2=O)cc1
21,CHEMBL424,SALICYLIC ACID,4,O=C(O)c1ccccc1O,IC50,40000.0,nM,0,1,True,O=C(NCCCCCCNC(=O)c1ccccc1O)c1ccc(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)cc1
22,CHEMBL190083,TARENFLURBIL,3,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,IC50,123000.0,nM,1,0,True,C[C@@H](C(=O)NCCCCCCNC(=O)c1ccc(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)cc1)c1ccc(-c2ccccc2)c(F)c1
23,CHEMBL145,CAFFEIC ACID,3,O=C(O)/C=C/c1ccc(O)c(O)c1,IC50,129700.0,nM,1,0,True,O=C(/C=C/c1ccc(O)c(O)c1)NCCCCCCNC(=O)c1ccc(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([nH]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[nH]5)C=C4)C=C3)cc1
24,ref,ref,,,,,,,,,CCCCCCNC(=O)c1ccc(cc1)-c1c2ccc(n2)c(-c2c(F)c(F)c(F)c(F)c2F)c2ccc([nH]2)c(-c2c(F)c(F)c(F)c(F)c2F)c2ccc(n2)c(-c2c(F)c(F)c(F)c(F)c2F)c2ccc1[nH]2